# Matter power spectrum P(k) at redshift z=0
# for k=1.05232e-05 to 1.66958 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052322863567e-05       4.932862487505e+01 
       1.324795994356e-05       6.156563138467e+01 
       1.667819342738e-05       7.683820681746e+01 
       2.099660152855e-05       9.589933027085e+01 
       2.643315522561e-05       1.196886147160e+02 
       3.327737082742e-05       1.493786286509e+02 
       4.189372777233e-05       1.864324824582e+02 
       5.274107848738e-05       2.326755150864e+02 
       6.639708395319e-05       2.903844876880e+02 
       8.358897625770e-05       3.623982410436e+02 
       1.052322863567e-04       4.522544547559e+02 
       1.324795994356e-04       5.643578212206e+02 
       1.667819342738e-04       7.041850614008e+02 
       2.099660152855e-04       8.785314802289e+02 
       2.643315522561e-04       1.095801400083e+03 
       3.327737082742e-04       1.366339596400e+03 
       4.189372777233e-04       1.702792057677e+03 
       5.274107848738e-04       2.120472525039e+03 
       6.639708395319e-04       2.637698046883e+03 
       8.358897625770e-04       3.276034956568e+03 
       1.052322863567e-03       4.060324359603e+03 
       1.324795994356e-03       5.018195173617e+03 
       1.667819342738e-03       6.178543165454e+03 
       2.099660152855e-03       7.569331318414e+03 
       2.643315522561e-03       9.213047052816e+03 
       3.327737082742e-03       1.112038088370e+04 
       4.189372777233e-03       1.328121298070e+04 
       5.274107848738e-03       1.565266162600e+04 
       6.639708395319e-03       1.814525063665e+04 
       8.358897625770e-03       2.060717447819e+04 
       1.052322863567e-02       2.280719329595e+04 
       1.324795994356e-02       2.442781526125e+04 
       1.667819342735e-02       2.507886835555e+04 
       2.099660136434e-02       2.437474296976e+04 
       2.643302962103e-02       2.213532894781e+04 
       3.325991725489e-02       1.869684336406e+04 
       4.131084423977e-02       1.523594728798e+04 
       4.811042781680e-02       1.323930225366e+04 
       5.303957630528e-02       1.225223185241e+04 
       5.710244108106e-02       1.163313871772e+04 
       6.072908878054e-02       1.116431496519e+04 
       6.411105477564e-02       1.075346970770e+04 
       6.734963954344e-02       1.035595902871e+04 
       7.050555063037e-02       9.946120980632e+03 
       7.361864831904e-02       9.513178672147e+03 
       7.671701561436e-02       9.054163094909e+03 
       7.982159890168e-02       8.571814410327e+03 
       8.294878570925e-02       8.075601686633e+03 
       8.611193169346e-02       7.577302906789e+03 
       8.932231297832e-02       7.090441290767e+03 
       9.258974555599e-02       6.628482071214e+03 
       9.592300231202e-02       6.203526271064e+03 
       9.933010193605e-02       5.824930483144e+03 
       1.028185138370e-01       5.498513211310e+03 
       1.063953062750e-01       5.225298189310e+03 
       1.100672550541e-01       5.001862479360e+03 
       1.138409241637e-01       4.820161216611e+03 
       1.177227260532e-01       4.668587700234e+03 
       1.217189668711e-01       4.532100699035e+03 
       1.258358804689e-01       4.395093622045e+03 
       1.300796539676e-01       4.243080232805e+03 
       1.344564470144e-01       4.065347161032e+03 
       1.389724064139e-01       3.858420162544e+03 
       1.436336775225e-01       3.626384173102e+03 
       1.484464135990e-01       3.380914916860e+03 
       1.534167841802e-01       3.137534052349e+03 
       1.585509834673e-01       2.912954099752e+03 
       1.638552396610e-01       2.719929082337e+03 
       1.693358261512e-01       2.564483098215e+03 
       1.749990754452e-01       2.444522873093e+03 
       1.808513967082e-01       2.349887243354e+03 
       1.868992977790e-01       2.265902843978e+03 
       1.931494125204e-01       2.176409887692e+03 
       1.996085343650e-01       2.069102829494e+03 
       2.062836569338e-01       1.942000988154e+03 
       2.131820226344e-01       1.804309698017e+03 
       2.203111802063e-01       1.670319158822e+03 
       2.276790522775e-01       1.552851800602e+03 
       2.352940141466e-01       1.458299031979e+03 
       2.431649852212e-01       1.384707414520e+03 
       2.513015348524e-01       1.321986981908e+03 
       2.597140047245e-01       1.257485669548e+03 
       2.684136505296e-01       1.184059455270e+03 
       2.774128064117e-01       1.102961626506e+03 
       2.867250766703e-01       1.022763737322e+03 
       2.963655605368e-01       9.528866881102e+02 
       3.063511175961e-01       8.959918952349e+02 
       3.167006837620e-01       8.471266702121e+02 
       3.274356508573e-01       7.986908469618e+02 
       3.385803271084e-01       7.465250293549e+02 
       3.501625017047e-01       6.934782676782e+02 
       3.622141447014e-01       6.449528874599e+02 
       3.747722850026e-01       6.033133657953e+02 
       3.878801255915e-01       5.653830156212e+02 
       4.015884791176e-01       5.273012750234e+02 
       4.159576425163e-01       4.890493061080e+02 
       4.310598832244e-01       4.533385277055e+02 
       4.469827930425e-01       4.210442702507e+02 
       4.638338982402e-01       3.904384506101e+02 
       4.817471306858e-01       3.601557017355e+02 
       5.008921282348e-01       3.312886191719e+02 
       5.214879646857e-01       3.044425733631e+02 
       5.438240517240e-01       2.783329442983e+02 
       5.682931103562e-01       2.530452938867e+02 
       5.954453811787e-01       2.288435312141e+02 
       6.260821981035e-01       2.051054009069e+02 
       6.614270453869e-01       1.818696811437e+02 
       7.034600435138e-01       1.587229988574e+02 
       7.556241939124e-01       1.353797253373e+02 
       8.244368821783e-01       1.113282670651e+02 
       9.232979833381e-01       8.610644441233e+01 
       1.079573335810e+00       6.010586597441e+01 
       1.328431155879e+00       3.701733501390e+01 
       1.669577909063e+00       2.149310059696e+01 
