# Matter power spectrum P(k) at redshift z=0
# for k=1.04178e-05 to 1.65285 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.041779244820e-05       4.691684189295e+01 
       1.311522364784e-05       5.861085341309e+01 
       1.651108833163e-05       7.321953596263e+01 
       2.078622867706e-05       9.146927498465e+01 
       2.616831149692e-05       1.142674364573e+02 
       3.294395232722e-05       1.427473616861e+02 
       4.147397874967e-05       1.783245462574e+02 
       5.221264577617e-05       2.227666175121e+02 
       6.573182658462e-05       2.782804212712e+02 
       8.275146685103e-05       3.476202152020e+02 
       1.041779244820e-04       4.342215025562e+02 
       1.311522364784e-04       5.423657780312e+02 
       1.651108833163e-04       6.773815576563e+02 
       2.078622867706e-04       8.458864143714e+02 
       2.616831149692e-04       1.056072406506e+03 
       3.294395232722e-04       1.318032223680e+03 
       4.147397874967e-04       1.644114721924e+03 
       5.221264577617e-04       2.049286835915e+03 
       6.573182658462e-04       2.551465847703e+03 
       8.275146685103e-04       3.171764572889e+03 
       1.041779244820e-03       3.934521180039e+03 
       1.311522364784e-03       4.866826949185e+03 
       1.651108833163e-03       5.997029122154e+03 
       2.078622867706e-03       7.352605741714e+03 
       2.616831149692e-03       8.955663075934e+03 
       3.294395232722e-03       1.081675642739e+04 
       4.147397874967e-03       1.292602293597e+04 
       5.221264577617e-03       1.524142272214e+04 
       6.573182658462e-03       1.767517181138e+04 
       8.275146685103e-03       2.007815429056e+04 
       1.041779244820e-02       2.222308795102e+04 
       1.311522364784e-02       2.379777075248e+04 
       1.651108833160e-02       2.441823686894e+04 
       2.078622851943e-02       2.370621893849e+04 
       2.616818997027e-02       2.148371891847e+04 
       3.292695691578e-02       1.808925012594e+04 
       4.090311766608e-02       1.468645959606e+04 
       4.765087876156e-02       1.273401065403e+04 
       5.254048033105e-02       1.177817436984e+04 
       5.656893235418e-02       1.118456482101e+04 
       6.016400556527e-02       1.073734030385e+04 
       6.351606401034e-02       1.034658760227e+04 
       6.672572686779e-02       9.967618129989e+03 
       6.985326692702e-02       9.576012397113e+03 
       7.293824595209e-02       9.160564903997e+03 
       7.600852934295e-02       8.717625549414e+03 
       7.908489669331e-02       8.250977165017e+03 
       8.218360206364e-02       7.769650001649e+03 
       8.531789024503e-02       7.285671674962e+03 
       8.849894222985e-02       6.811690670339e+03 
       9.173649004767e-02       6.361712884030e+03 
       9.503923066317e-02       5.948125150446e+03 
       9.841511268938e-02       5.580253918382e+03 
       1.018715397263e-01       5.263505650711e+03 
       1.054155173429e-01       4.999419604482e+03 
       1.090537609199e-01       4.784655008692e+03 
       1.127927756580e-01       4.611556282339e+03 
       1.166389163780e-01       4.468231163552e+03 
       1.205984324021e-01       4.340403926901e+03 
       1.246775012902e-01       4.212352205098e+03 
       1.288822542042e-01       4.069292648339e+03 
       1.332187950126e-01       3.900731361778e+03 
       1.376932148049e-01       3.703041614124e+03 
       1.423116031936e-01       3.479621209864e+03 
       1.470800575862e-01       3.242161814278e+03 
       1.520046914864e-01       3.006108770033e+03 
       1.570916428029e-01       2.787933783846e+03 
       1.623470830940e-01       2.600647298548e+03 
       1.677772286461e-01       2.450433786602e+03 
       1.733883542628e-01       2.335513293688e+03 
       1.791868106293e-01       2.245954214015e+03 
       1.851790461088e-01       2.167383207572e+03 
       1.913716338204e-01       2.083702804920e+03 
       1.977713048541e-01       1.982168178493e+03 
       2.043849884895e-01       1.860599823393e+03 
       2.112198603187e-01       1.727822463264e+03 
       2.182833992307e-01       1.598134105426e+03 
       2.255834543119e-01       1.484342982570e+03 
       2.331283228644e-01       1.393112963239e+03 
       2.409268409601e-01       1.322911657807e+03 
       2.489884882514e-01       1.263714377639e+03 
       2.573235091783e-01       1.202999343335e+03 
       2.659430532717e-01       1.133244546406e+03 
       2.748593380040e-01       1.055409702467e+03 
       2.840858386312e-01       9.780052175958e+02 
       2.936375107803e-01       9.105754889336e+02 
       3.035310532776e-01       8.560369019160e+02 
       3.137852210263e-01       8.096517350942e+02 
       3.244212008500e-01       7.637678085992e+02 
       3.354630674347e-01       7.140341913169e+02 
       3.469383422821e-01       6.630550309761e+02 
       3.588786866288e-01       6.163818464871e+02 
       3.713207706254e-01       5.765282254345e+02 
       3.843073773244e-01       5.404316261831e+02 
       3.978888237138e-01       5.041812382179e+02 
       4.121248162185e-01       4.675178824347e+02 
       4.270869113929e-01       4.332666566623e+02 
       4.428618351087e-01       4.024101999682e+02 
       4.595560446206e-01       3.732391020224e+02 
       4.773021316733e-01       3.443036780234e+02 
       4.962680241657e-01       3.166526475304e+02 
       5.166705687444e-01       2.910150043042e+02 
       5.387962055744e-01       2.660809197532e+02 
       5.630335762291e-01       2.418922534393e+02 
       5.899271262511e-01       2.187778375614e+02 
       6.202696096007e-01       1.960935746444e+02 
       6.552711472578e-01       1.738957195153e+02 
       6.968897057546e-01       1.517817345719e+02 
       7.485286486288e-01       1.294826493341e+02 
       8.166279427632e-01       1.065071244178e+02 
       9.144247187684e-01       8.241447161313e+01 
       1.068967086734e+00       5.757236171036e+01 
       1.315156061271e+00       3.548407544187e+01 
       1.652853753003e+00       2.061333668329e+01 
